start_station_name,ride_count,rank
,525816,1
Kingsbury St & Kinzie St,25609,2
Clinton St & Washington Blvd,25587,3
Clark St & Elm St,24492,4
Wells St & Concord Ln,20975,5
Wells St & Elm St,20040,6
Clinton St & Madison St,20023,7
University Ave & 57th St,19581,8
Broadway & Barry Ave,18599,9
Loomis St & Lexington St,18363,10
