start_station_name,member_casual,rides_total,avg_trip_duration,max_trip_duration,min_trip_duration
May St & Taylor St,member,10963,9.5686399708109118,1432,1
Clark St & Armitage Ave,casual,10916,22.055606449248806,1418,1
Aberdeen St & Jackson Blvd,member,10908,10.057572423909061,1392,1
Sheffield Ave & Wellington Ave,member,10808,10.932179866765361,1439,1
Broadway & Sheridan Rd,member,10685,10.435938231165187,1175,1
Clark St & Lincoln Ave,casual,10676,21.966466841513672,1282,1
Fairbanks Ct & Grand Ave,member,10652,12.099981224183251,946,1
Michigan Ave & 8th St,casual,10638,32.481575484113556,1439,1
Clark St & Elm St,casual,10623,17.75524804669114,1356,1
Clark St & Lake St,member,10622,11.563359066089244,1097,1
Sedgwick St & Huron St,member,10616,9.1884890730972124,1179,1
Clark St & Wellington Ave,member,10549,11.122760451227602,1246,1
Sheridan Rd & Montrose Ave,member,10546,11.159396927745121,1330,1
Broadway & Belmont Ave,member,10509,11.841278903796745,939,1
Clarendon Ave & Gordon Ter,member,10497,13.184052586453273,1185,1
Wilton Ave & Belmont Ave,casual,10454,16.674765639946433,1393,1
Sheffield Ave & Wrightwood Ave,member,10391,10.211336733711864,1330,1
State St & Randolph St,member,10353,12.711388003477255,1250,1
Desplaines St & Jackson Blvd,member,10303,10.028632437154226,1238,1
McClurg Ct & Erie St,member,10302,13.935255290234906,1122,1
Rush St & Cedar St,member,10299,12.531605010195165,986,1
Canal St & Jackson Blvd,member,10212,11.184195064629849,1283,1
Milwaukee Ave & Grand Ave,member,10157,9.9639657379147355,818,1
Clark St & Winnemac Ave,member,10044,11.057148546395858,1085,1
Rush St & Superior St,member,9997,12.121336400920274,1263,1
DuSable Lake Shore Dr & Wellington Ave,member,9933,17.604953186348531,1259,1
Halsted St & Dickens Ave,member,9892,11.537909421754954,1423,1
Wells St & Elm St,casual,9848,14.695674248578394,1247,1
Sheffield Ave & Kingsbury St,member,9848,10.835093419983751,1078,1
Stockton Dr & Wrightwood Ave,member,9826,14.365153673926317,813,1
Sedgwick St & Webster Ave,member,9814,11.17475035663338,972,1
State St & Kinzie St,member,9777,11.82325866830316,1419,1
Clark St & Randolph St,member,9690,13.193808049535608,1125,1
Franklin St & Chicago Ave,member,9675,9.4126098191214442,967,1
Millennium Park,member,9663,17.638000620925183,536,1
Sedgwick St & North Ave,member,9589,10.519345082907495,970,1
Wabash Ave & Grand Ave,casual,9557,30.22057130898818,1360,1
Halsted St & Fulton St,member,9543,12.134863250550143,1103,1
DuSable Lake Shore Dr & Monroe St,member,9527,22.726671565025715,1298,1
Clark St & Newport St,casual,9510,16.712092534174555,1330,1
Burling St & Diversey Pkwy,member,9372,11.373026034997869,746,1
Broadway & Barry Ave,casual,9359,18.252697937813867,1374,1
900 W Harrison St,member,9286,9.08108981262115,1399,1
Mies van der Rohe Way & Chicago Ave,member,9197,12.727411112319233,266,1
Franklin St & Illinois St,member,9189,9.659048862770705,912,1
Southport Ave & Wellington Ave,member,9163,10.635490559860306,1357,1
